,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
127,flake8-isort,gforcada/flake8-isort,linters,flake8 plugin that integrates isort.,,https://github.com/gforcada/flake8-isort,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2022-04-27 20:16:45.000,2022-04-27 20:16:45,282.0,6.0,46.0,7.0,64.0,41.0,128.0,,,6.0,33.0,25,True,flake8-isort,conda-forge/flake8-isort,['flake8'],8.0,5788.0,5788.0,https://pypi.org/project/flake8-isort,697663.0,698204.0,https://anaconda.org/conda-forge/flake8-isort,2021-10-14 14:17:41.684,17325.0,2.0,,,,,,,,,,,,,,,,
128,Bpytop,aristocratos/bpytop,profiling,Linux/OSX/FreeBSD resource monitor.,,https://github.com/aristocratos/bpytop,https://github.com/aristocratos/bpytop,Apache-2.0,2020-07-01 17:41:25.000,2022-03-06 14:22:47.000,2022-03-06 14:20:17,408.0,,331.0,159.0,70.0,223.0,8557.0,,,8.0,35.0,24,True,bpytop,conda-forge/bpytop,,62.0,,,https://pypi.org/project/bpytop,7971.0,8280.0,https://anaconda.org/conda-forge/bpytop,2021-12-22 23:07:43.371,4953.0,3.0,,,,,,,,,,,,,,,,
129,beartype,beartype/beartype,linters,Unbearably fast O(1) runtime type-checking in pure Python.,,https://github.com/beartype/beartype,https://github.com/beartype/beartype,MIT,2020-04-03 06:06:22.000,2022-06-08 21:01:03.000,2022-06-08 07:19:27,637.0,55.0,22.0,8.0,26.0,85.0,1182.0,2022-03-15 06:05:18,0.10.4,20.0,9.0,24,True,beartype,conda-forge/beartype,,21.0,,,https://pypi.org/project/beartype,86422.0,87020.0,https://anaconda.org/conda-forge/beartype,2022-03-15 09:40:26.391,14366.0,3.0,,,,,,,,,,,,,,,,
130,pylama,klen/pylama,linters,Code audit tool for python.,,https://github.com/klen/pylama,https://github.com/klen/pylama,MIT,2012-08-17 10:10:10.000,2022-03-25 11:38:34.000,2022-03-11 14:15:28,680.0,,85.0,17.0,87.0,92.0,897.0,,,,45.0,24,True,pylama,,,40.0,3975.0,3975.0,https://pypi.org/project/pylama,102588.0,102588.0,,,,3.0,,,,,,,,,,,,,,,,
131,pytest-benchmark,ionelmc/pytest-benchmark,testing,py.test fixture for benchmarking code.,,https://github.com/ionelmc/pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,BSD-2-Clause,2014-10-10 10:55:33.000,2022-02-23 21:20:41.000,2022-02-23 21:20:41,987.0,,90.0,17.0,61.0,79.0,896.0,,,4.0,35.0,24,True,pytest-benchmark,conda-forge/pytest-benchmark,['pytest'],79.0,2960.0,2960.0,https://pypi.org/project/pytest-benchmark,376742.0,394677.0,https://anaconda.org/conda-forge/pytest-benchmark,2021-04-18 21:19:04.860,1345194.0,3.0,,,,,,,,,,,,,,,,
132,pytest-sugar,Teemu/pytest-sugar,testing,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",,https://github.com/Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,,2013-06-25 21:09:27.000,2022-06-04 02:23:46.000,2022-04-02 17:05:45,347.0,1.0,64.0,16.0,136.0,69.0,870.0,,,5.0,38.0,24,False,pytest-sugar,conda-forge/pytest-sugar,['pytest'],32.0,9937.0,9937.0,https://pypi.org/project/pytest-sugar,800470.0,802780.0,https://anaconda.org/conda-forge/pytest-sugar,2022-04-11 13:13:26.309,134014.0,3.0,,,,,,,,,,,,,,,,
133,mkdocstrings,mkdocstrings/mkdocstrings,documentation,"Automatic documentation from sources, for MkDocs.",,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09.000,2022-05-29 16:02:15.354,2022-05-28 15:55:45,523.0,14.0,70.0,8.0,139.0,231.0,735.0,2022-05-28 15:57:31,0.19.0,11.0,29.0,24,True,mkdocstrings,conda-forge/mkdocstrings,['mkdocs'],33.0,,,https://pypi.org/project/mkdocstrings,174935.0,175857.0,https://anaconda.org/conda-forge/mkdocstrings,2022-05-29 16:02:15.354,18447.0,2.0,,,,,,,,,,,,,,,,
134,asv,airspeed-velocity/asv,testing,Airspeed Velocity: A simple Python benchmarking tool with web-based reporting.,,https://github.com/airspeed-velocity/asv,https://github.com/airspeed-velocity/asv,BSD-3-Clause,2013-11-07 20:43:31.000,2022-05-24 16:16:44.182,2022-04-12 10:40:59,2005.0,39.0,148.0,18.0,718.0,361.0,688.0,2022-02-06 14:17:08,0.5.1,13.0,68.0,24,True,asv,conda-forge/asv,,134.0,,,https://pypi.org/project/asv,19104.0,28372.0,https://anaconda.org/conda-forge/asv,2022-05-24 16:16:44.182,602439.0,3.0,,,,,,,,,,,,,,,,
135,Mamba Test Runner,nestorsalceda/mamba,testing,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,,https://github.com/nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2021-12-09 22:04:56.000,2020-11-16 12:31:58,468.0,,63.0,22.0,84.0,52.0,485.0,2020-11-16 12:36:24,0.11.2,7.0,22.0,24,False,mamba,,,28.0,450.0,450.0,https://pypi.org/project/mamba,18226.0,18226.0,,,,3.0,,,,,,,,,,,,,,,,
136,darglint,terrencepreilly/darglint,linters,A python documentation linter which checks that the docstring description matches the definition.,,https://github.com/terrencepreilly/darglint,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2022-03-26 16:05:41.000,2021-10-18 03:34:23,504.0,,36.0,7.0,56.0,95.0,415.0,,,18.0,22.0,24,True,darglint,conda-forge/darglint,,51.0,2512.0,2512.0,https://pypi.org/project/darglint,365606.0,366680.0,https://anaconda.org/conda-forge/darglint,2021-11-05 17:11:34.449,35467.0,3.0,,,,,,,,,,,,,,,,
137,docformatter,myint/docformatter,formatters,Formats docstrings to follow PEP 257.,,https://github.com/PyCQA/docformatter,https://github.com/PyCQA/docformatter,MIT,2012-05-26 21:40:48.000,2022-05-05 21:35:25.000,2022-02-11 04:16:07,443.0,,37.0,12.0,34.0,22.0,283.0,,,2.0,16.0,24,True,docformatter,conda-forge/docformatter,,29.0,992.0,992.0,https://pypi.org/project/docformatter,180367.0,181172.0,https://anaconda.org/conda-forge/docformatter,2020-12-29 08:31:19.772,16914.0,3.0,,,,,,,,,,,,,,,PyCQA/docformatter,
138,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,,2014-03-31 15:34:54.000,2021-12-05 16:31:05.000,2019-12-22 18:11:19,86.0,,43.0,7.0,33.0,21.0,181.0,,,4.0,10.0,24,False,astunparse,conda-forge/astunparse,,11.0,46660.0,46660.0,https://pypi.org/project/astunparse,9505401.0,9518042.0,https://anaconda.org/conda-forge/astunparse,2021-01-15 07:40:29.426,758513.0,2.0,,,,,,,,,,,,,,,,
